Year,Temperature
1909,12.8
1910,12.2
1911,12.6
1912,12.4
1913,11.9
1914,13.5
1915,12.9
1916,12.3
1917,11.1
1918,11.8
1919,12.2
1920,12.7
1921,11.9
1922,12.7
1923,12
1924,12.2
1925,12
1926,11.9
1927,12.4
1928,12.5
1929,12.7
1930,12.8
1931,12.3
1932,12.5
1933,12.5
1934,12.1
1935,13
1936,11.5
1937,12.7
1938,12.4
1939,12.9
1940,12.4
1941,12.3
1942,12.6
1943,12.7
1944,12.6
1945,12
1946,12.7
1947,11.4
1948,12.9
1949,12.5
1950,12.9
1951,13
1952,12.5
1953,12.6
1954,12.8
1955,13
1956,11.6
1957,12.1
1958,13
1959,13.6
1960,13.4
1961,13.7
1962,13.1
1963,12.3
1964,13.6
1965,12.8
1966,12.9
1967,13
1968,13
1969,12.5
1970,12.7
1971,13
1972,13.1
1973,13.7
1974,12.6
1975,13.5
1976,12.6
1977,13.5
1978,14.2
1979,13.7
1980,12.5
1981,12.9
1982,13.7
1983,13.5
1984,13.2
1985,13.5
1986,12.9
1987,13.7
1988,13.4
1989,14.3
1990,14.6
1991,13.7
1992,14.1
1993,13.4
1994,15.2
1995,13.9
1996,13.7
1997,14.5
1998,14.9
1999,14.3
2000,14.2
2001,14.8
2002,14.1
2003,13.8
2004,14.8
2005,14.2
2006,14.6
2007,15
2008,14.6
2009,14.8
2010,14.4
2011,14.3
2012,14.1
2013,15
2014,14.9
2015,14.8
2016,14.6
2017,14.4
2018,14.1
2019,14.8
2020,14.5
2021,14.6
